pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Un ejemplo de buen diseño en un videojuego como Asteroids es incluir un sonido cuando un disparo hace impacto en el asteroide, porque lo hace discernible.;Cierto;Falso;;;1
Es imposible imaginar un juego sin jugadores.;Cierto;Falso;;;2
El manual de instrucciones de un juego suele contener las reglas constitutivas del mismo.;Cierto;Falso;;;2
El entorno de juego (o círculo mágico) debe tener algún componente físico y tangible.;Cierto;Falso;;;2
La clasificación de Bartle habla de killers, socializadores, creadores y exploradores.;Cierto;Falso;;;2
Los juegos mediados (o re-mediados) tecnológicamente deben disponer de una unidad central que intermedia y traduce entre el jugador y el sistema.;Cierto;Falso;;;1
Las penalizaciones hacen que el jugador pierda interés en el juego.;Cierto;Falso;;;2
El ajedrez es un juego en grupo síncrono.;Cierto;Falso;;;2
CATAN es un juego de mesa cuyas mecánicas más importantes giran en torno a los recursos.;Cierto;Falso;;;1
Es importante considerar el fabricante o desarrollador de un juego para entenderlo mejor.;Cierto;Falso;;;1
Para que un jugador juegue, el juego debe tener, por lo menos, un objetivo deseado.;Cierto;Falso;;;1
Las recompensas siempre mejoran el estado del jugador dentro del juego.;Cierto;Falso;;;2
Para entender el juego, únicamente es relevante su parte central: reglas, mecánicas y objetivos.;Cierto;Falso;;;2
El conflicto es un elemento básico de la trama narrativa.;Cierto;Falso;;;2
La narrativa de un buen juego sigue la estructura de tres actos: planteamiento, nudo y desenlace.;Cierto;Falso;;;2
Los mundos ludoficcionales pueden ser utilizados para contar historias.;Cierto;Falso;;;1
"Las mecánicas se pueden equiparar a los ""verbos"" disponibles para el jugador.";Cierto;Falso;;;1
En un juego, es preferible tener a un jugador aguafiestas que a uno tramposo o antideportivo.;Cierto;Falso;;;2
Para que el juego funcione como juego, debe tener, por lo menos, un objetivo final.;Cierto;Falso;;;2
Los juegos de mesa pueden ser narrativos.;Cierto;Falso;;;1
