pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Según la Unión Europea, las Inteligencias Artificiales son sistemas que utilizan tecnologías como:;Deep learning.;Machine learning.;Minería de textos.;Todas son correctas;4
Una IA generativa es aquella que:;Puede generar texto, imágenes, audio y vídeo.;Se centra en la creación de contenido original.;Utiliza modelos de aprendizaje profundo.;Todas son correctas;4
Las instrucciones que se le dan a una IA generativa también se conocen como prompts: Puede generar texto, imágenes, audio y vídeo;Ambas;Falso;Verdadero;Ninguna de las anteriores;3
Uno de los desafíos éticos que presentan las IAs es:;Los aspectos socioambientales.;La seguridad.;Ninguna es correcta;Ambas;4
Una de las IAs generativas de texto es:;Genially.;ChatGPT.;Leonardo.ai;Audacity.;2
Una de las IAs generativas de texto es:;Leonardo.ai;ChatGPT.;Genially.;Audacity.;2
DeepL es una IA especializada en traducción de idiomas:;Verdadero;Falso;Ambas;Ninguna;1
Si tuvieras que elegir una IA de creación de imágenes cuál elegirías?;Consensus.;Gemini.;GarageBand.;Ninguna de las anteriores es correcta.;4
Según el Consenso de Beijing (García Peñalvo et al., 2024), uno de los aspectos que tiene la IA para la educación es:;La IA para ofrecer oportunidades de aprendizaje permanente para todos.;La IA para apoyar la docencia y a los docentes.;Todas las anteriores son correctas.;La IA para el aprendizaje y la evaluación del aprendizaje.;3
Una IA específica es aquella que NO está diseñada para realizar tareas específicas, como el reconocimiento de voz, el análisis de imágenes o el análisis del juego de ajedrez.;Falso;Verdadero;Ambas;Ninguna;1
Los sistemas que aprenden a partir de datos etiquetados, como imágenes clasificadas o textos con anotaciones se denominan:;Aprendizaje vicario.;No existe el aprendizaje supervisado en las IAs.;Aprendizaje supervisado.;Aprendizaje por repetición.;3
