Pregunta,Respuesta correcta,Justificación (según el documento),Información de las opciones incorrectas
"La construcción de infraestructuras, metodología de dispositivos y gestión de usuarios, ¿a qué marco pertenece en el índice de la biblia transmedia?",Especificaciones tecnológicas,"El apartado de especificaciones tecnológicas en la biblia transmedia engloba los aspectos técnicos relacionados con infraestructura, dispositivos y usuarios.","• Tratamiento: se refiere al enfoque narrativo.
• Especificaciones de diseño: trata sobre estética y funcionalidad.
• Marketing: orientado al público objetivo y estrategias."
¿Qué es la biblia transmedia?,"Catálogo de instrucciones, determinando los parámetros narrativos y de producción","La biblia transmedia es un documento que recoge los elementos narrativos, técnicos y estratégicos para diseñar y producir un proyecto transmedia.","• Documento que atestigua o libro de estilo: no refleja su función estructural.
• Catálogo simple: omite su componente narrativo y de producción."
"Dentro de la biblia transmedia, lista que define los soportes utilizados…",Formulario multiplataforma,"El formulario multiplataforma recoge los medios, dispositivos o canales a través de los cuales se desarrollará la narrativa transmedia.","• Guiones, plataformas y visión general: elementos diferentes dentro de la biblia."
¿Con qué tipo de soporte podemos grabar y emitir entrevistas y testimonios?,Podcast,El podcast es una herramienta idónea para la emisión de contenidos en audio como entrevistas y testimonios.,"• Vídeos: incluyen imagen, pero la opción correcta era audio específico.
• Juegos y apps: no son formatos destinados a entrevistas."
¿Quién señala que la narrativa transmedia es el arte de construir universos?,Bakioglu,Bakioglu define la narrativa transmedia como un arte que consiste en crear universos coherentes y expandibles.,"• Lambert, Dena y Ferrarelli: tienen otras aportaciones en el ámbito narrativo pero no esta definición concreta."
Gancho para captar al consumidor:,Transmedia intercomposicionales,Los proyectos transmedia intercomposicionales funcionan como gancho inicial para atraer al público y dirigirlo hacia la historia principal.,"• Intracomposicionales, ultracomposicionales, extracomposicionales: otras tipologías que no cumplen esa función específica."
¿Cuál es el mayor inconveniente de la narrativa transmedia?,Insuficiente competencia mediática,Uno de los principales retos actuales es la falta de preparación mediática del público para comprender y participar plenamente.,"• Creatividad o factores técnicos no son inconvenientes, sino fortalezas.
• Delimitaciones técnicas: han sido superadas por los avances digitales."
¿En qué consiste la serialidad según Jenkins?,Creación de fragmentos significativos de una historia para ser emitido a través de diferentes entregas,Jenkins plantea la serialidad como una estrategia narrativa que distribuye la historia en fragmentos conectados en el tiempo.,"• Coherencia, difusión y exploración de información son otros principios, pero no definen la serialidad."
¿Qué soporte favorece a la comprensión del alumnado por sus aspectos visuales?,Cómic digital,El cómic digital facilita el aprendizaje visual y la retención de contenido gracias a la narrativa gráfica.,"• Wikis, redes sociales y videojuegos no ofrecen la misma claridad visual estructurada."
¿Qué funciona como enlace para acceder a los contenidos web?,Código QR,El código QR permite el acceso inmediato a contenido digital ampliado desde dispositivos móviles.,"• Apps, infografías y e-books son contenidos en sí mismos, no enlaces."
¿Qué principio está ligado a la habilidad y compromiso de los espectadores por transmitir y difundir los contenidos a través de los múltiples canales existentes?,Expansión,El principio de expansión implica la participación activa del público en la distribución y desarrollo del universo transmedia.,"• Continuidad y multiplicidad se relacionan con la narrativa, pero no con la difusión activa.
• Profundidad alude a la riqueza del contenido, no a la expansión."
¿De cuántas partes se conforma la biblia transmedia?,Cinco,"La biblia transmedia se divide en cinco secciones: narrativa, diseño, funcionalidad, tecnología y marketing.","• Tres, cuatro o seis no reflejan correctamente su estructura oficial."
Si una historia comienza en un cómic y finaliza en una web interactiva ¿de qué tipo de proyecto transmedia hablamos?,Transmedia intracomposicionales,Este tipo de proyecto implica la integración interna de diversos formatos para contar una sola macrohistoria.,"• Intercomposicionales, extracomposicionales, ultracomposicionales tienen otras funciones dentro del ecosistema transmedia."
Señala qué proyecto transmedia se caracteriza por un relato basado en la ficción:,Serie Mad Men,Mad Men ha sido destacado como ejemplo de narrativa transmedia ficcional por su expansión en múltiples formatos.,"• Kingsman, tecnologías emergentes o TIC: no son casos emblemáticos de transmedia ficcional según el texto."
"¿Qué medios se centran en producir precuelas, secuelas y spin off?","Tv, cine, libros y cómics",Estos medios tradicionales permiten expandir universos narrativos de forma coherente y complementaria.,"• Apps, videojuegos y redes sociales suelen acompañar, pero no generan spin-off como tales."
¿Dónde se encuentra el target de la audiencia dentro de la biblia transmedia?,Marketing,"El análisis del público objetivo se encuentra dentro del apartado de marketing, esencial para la estrategia transmedia.","• Diseño, tratamiento y funcionalidad: aspectos formales y técnicos."
Modelo transmedia en el que no existe una sola macrohistoria:,Transmedia,"En los modelos transmedia auténticos, las historias se desarrollan en múltiples formatos sin depender de una macrohistoria única.","• Crossmedia y multimedia suelen tener una historia central adaptada a distintos soportes.
• Multiplataforma se refiere más a la distribución que a la narrativa."
¿Qué principio señala que la narrativa se complementa con el mundo real y el mundo digital?,Construcción de mundos,Este principio apunta a la creación de universos integrados que vinculan lo físico y lo virtual.,"• Subjetividad, ejecución o serialidad no explican esa conexión híbrida."
Señala los beneficios de la narrativa transmedia:,Favorece el recuerdo y la memoria,"Gracias a su enfoque multimodal y participativo, la narrativa transmedia refuerza la comprensión y la retención del contenido.",• Las otras opciones señalan limitaciones o características negativas que no son beneficios.
Señala alguna de las obras de Henry Jenkins:,"Fans, piratas de textos y videojuegos",Este es uno de los libros fundamentales de Jenkins en el ámbito de los estudios de fan y cultura participativa.,• Star Wars y los otros títulos no corresponden a publicaciones de Jenkins según el documento.
